Date,Open,High,Low,Close,Volume
16-Mar-17,1.25,1.32,1.22,1.29,47207
15-Mar-17,1.33,1.33,1.26,1.26,17768
14-Mar-17,1.30,1.31,1.27,1.28,18543
13-Mar-17,1.26,1.29,1.26,1.27,4704
10-Mar-17,1.27,1.30,1.21,1.26,15427
9-Mar-17,1.27,1.30,1.23,1.26,10697
8-Mar-17,1.31,1.33,1.21,1.26,34751
7-Mar-17,1.29,1.32,1.29,1.32,18617
6-Mar-17,1.28,1.32,1.28,1.30,15333
3-Mar-17,1.27,1.32,1.26,1.30,37678
2-Mar-17,1.29,1.30,1.20,1.30,32695
1-Mar-17,1.27,1.30,1.21,1.28,65778
28-Feb-17,1.28,1.30,1.24,1.25,38817
27-Feb-17,1.23,1.29,1.23,1.29,51095
24-Feb-17,1.21,1.25,1.20,1.22,25331
23-Feb-17,1.19,1.23,1.13,1.23,74460
22-Feb-17,1.13,1.20,1.00,1.20,62902
21-Feb-17,1.16,1.16,1.11,1.11,45614
17-Feb-17,1.16,1.17,1.15,1.16,10679
16-Feb-17,1.17,1.17,1.16,1.16,52356
15-Feb-17,1.15,1.16,1.12,1.16,70267
14-Feb-17,1.16,1.16,1.08,1.15,237475
13-Feb-17,1.15,1.16,1.12,1.12,17727
10-Feb-17,1.15,1.15,1.12,1.14,17477
9-Feb-17,1.12,1.15,1.12,1.15,19518
8-Feb-17,1.15,1.15,1.10,1.13,10711
7-Feb-17,1.10,1.15,1.08,1.12,22037
6-Feb-17,1.11,1.13,1.10,1.10,34498
3-Feb-17,1.12,1.16,1.12,1.12,61245
2-Feb-17,1.13,1.13,1.10,1.13,20599
1-Feb-17,1.10,1.13,1.10,1.11,7785
31-Jan-17,1.10,1.13,1.10,1.12,76083
30-Jan-17,1.06,1.10,1.05,1.09,14262
27-Jan-17,1.04,1.09,1.02,1.06,8616
26-Jan-17,1.05,1.08,1.05,1.08,6311
25-Jan-17,1.04,1.08,1.04,1.07,24877
24-Jan-17,1.08,1.09,1.02,1.03,12613
23-Jan-17,1.08,1.10,1.02,1.06,26583
20-Jan-17,1.07,1.10,1.04,1.04,23113
19-Jan-17,1.09,1.11,1.06,1.06,11325
18-Jan-17,1.08,1.11,1.05,1.10,9485
17-Jan-17,1.06,1.15,1.06,1.07,46418
13-Jan-17,1.10,1.12,1.08,1.10,11401
12-Jan-17,1.10,1.14,1.07,1.12,26439
11-Jan-17,1.10,1.12,1.10,1.11,52802
10-Jan-17,1.07,1.11,1.07,1.10,24814
9-Jan-17,1.10,1.10,1.05,1.09,12349
6-Jan-17,1.05,1.09,1.05,1.07,17395
