Date,Open,High,Low,Close,Volume
30-Dec-16,1.04,1.05,1.01,1.05,8331
29-Dec-16,1.03,1.05,1.01,1.01,47617
28-Dec-16,1.00,1.04,0.98,1.02,65592
27-Dec-16,1.00,1.01,0.98,1.00,55529
23-Dec-16,1.02,1.02,0.96,0.96,14102
22-Dec-16,1.03,1.04,0.98,1.04,36763
21-Dec-16,1.00,1.03,0.87,1.00,170206
20-Dec-16,0.98,1.04,0.95,1.00,72471
19-Dec-16,0.85,1.00,0.85,0.95,243389
16-Dec-16,0.85,0.85,0.82,0.85,19954
15-Dec-16,0.85,0.85,0.84,0.84,4113
14-Dec-16,0.83,0.85,0.83,0.85,2139
13-Dec-16,0.85,0.85,0.82,0.85,14676
12-Dec-16,0.82,0.85,0.82,0.85,15162
9-Dec-16,0.82,0.83,0.81,0.82,16994
8-Dec-16,0.79,0.82,0.79,0.81,10900
7-Dec-16,0.80,0.80,0.78,0.79,16320
6-Dec-16,0.81,0.81,0.78,0.79,56124
5-Dec-16,0.83,0.83,0.77,0.78,15070
2-Dec-16,0.80,0.80,0.79,0.79,11765
1-Dec-16,0.81,0.82,0.78,0.79,13289
30-Nov-16,0.80,0.83,0.79,0.81,24246
29-Nov-16,0.78,0.80,0.78,0.80,15850
28-Nov-16,0.79,0.82,0.78,0.78,43834
25-Nov-16,0.83,0.83,0.79,0.82,3981
23-Nov-16,0.78,0.80,0.78,0.79,26117
22-Nov-16,0.80,0.80,0.78,0.78,7274
21-Nov-16,0.78,0.79,0.78,0.78,13146
18-Nov-16,0.76,0.78,0.76,0.78,11389
17-Nov-16,0.76,0.78,0.76,0.78,64947
16-Nov-16,0.78,0.84,0.73,0.76,129583
15-Nov-16,0.89,0.90,0.69,0.80,53184
14-Nov-16,0.90,0.94,0.82,0.86,63024
11-Nov-16,0.90,0.95,0.90,0.90,3946
10-Nov-16,0.98,0.98,0.92,0.93,89887
9-Nov-16,0.95,0.98,0.94,0.98,13998
8-Nov-16,0.95,0.98,0.93,0.96,15881
7-Nov-16,0.97,0.97,0.91,0.91,5167
4-Nov-16,0.92,0.96,0.92,0.96,11341
3-Nov-16,0.92,0.94,0.92,0.92,4440
2-Nov-16,0.96,0.96,0.93,0.95,9816
1-Nov-16,0.97,0.97,0.97,0.97,1720
31-Oct-16,1.00,1.00,0.96,0.96,5259
28-Oct-16,0.99,0.99,0.96,0.96,1102
27-Oct-16,0.96,0.97,0.96,0.96,6147
26-Oct-16,0.93,0.98,0.93,0.98,2259
25-Oct-16,0.94,0.98,0.94,0.95,3963
24-Oct-16,0.98,0.98,0.94,0.94,1056
21-Oct-16,0.99,0.99,0.94,0.98,2968
20-Oct-16,0.99,0.99,0.96,0.96,3836
19-Oct-16,0.95,1.00,0.95,0.96,30610
18-Oct-16,1.00,1.00,0.95,0.95,14277
17-Oct-16,1.00,1.00,0.93,0.97,18644
14-Oct-16,0.98,0.99,0.95,0.99,4339
13-Oct-16,0.92,0.99,0.92,0.96,12618
12-Oct-16,0.96,1.00,0.93,0.95,21282
11-Oct-16,1.00,1.00,0.90,0.94,42635
10-Oct-16,1.03,1.03,1.00,1.00,38603
7-Oct-16,1.04,1.04,1.01,1.02,6657
6-Oct-16,1.04,1.05,1.02,1.02,16180
5-Oct-16,1.05,1.05,1.00,1.03,22097
4-Oct-16,1.04,1.05,1.00,1.02,22478
3-Oct-16,1.01,1.05,1.01,1.04,13894
30-Sep-16,1.03,1.05,1.00,1.02,30685
29-Sep-16,1.02,1.08,1.00,1.06,117290
28-Sep-16,1.07,1.08,1.00,1.05,69479
27-Sep-16,1.05,1.07,1.00,1.07,30957
26-Sep-16,1.07,1.07,1.02,1.03,7487
23-Sep-16,1.03,1.06,1.01,1.05,53642
22-Sep-16,0.99,1.06,0.97,1.03,37018
21-Sep-16,1.01,1.06,0.96,1.00,109856
20-Sep-16,1.05,1.05,1.00,1.01,7048
19-Sep-16,1.06,1.10,0.94,1.03,79399
16-Sep-16,1.03,1.07,0.97,1.07,65884
15-Sep-16,0.86,1.09,0.86,1.02,332994
14-Sep-16,0.90,0.91,0.86,0.86,16860
13-Sep-16,0.89,0.91,0.86,0.89,40215
12-Sep-16,0.87,0.91,0.82,0.89,62763
9-Sep-16,0.87,0.87,0.82,0.84,44571
8-Sep-16,0.88,0.90,0.84,0.87,6095
7-Sep-16,0.88,0.91,0.84,0.85,15996
6-Sep-16,0.88,0.88,0.84,0.84,12537
2-Sep-16,0.89,0.92,0.87,0.88,4735
1-Sep-16,0.85,0.88,0.85,0.88,7321
31-Aug-16,0.84,0.86,0.84,0.85,5976
30-Aug-16,0.87,0.87,0.85,0.85,11436
29-Aug-16,0.80,0.90,0.80,0.86,23309
26-Aug-16,0.93,0.93,0.83,0.83,65258
25-Aug-16,0.92,0.92,0.90,0.90,17596
24-Aug-16,0.83,0.91,0.83,0.90,210742
23-Aug-16,0.85,0.87,0.83,0.85,13756
22-Aug-16,0.83,0.87,0.79,0.85,33976
19-Aug-16,0.88,0.89,0.80,0.83,22718
18-Aug-16,0.86,0.89,0.85,0.88,88955
17-Aug-16,0.74,0.87,0.74,0.86,141930
16-Aug-16,0.70,0.77,0.69,0.75,309321
15-Aug-16,0.70,0.70,0.63,0.68,69301
12-Aug-16,0.69,0.70,0.69,0.69,3137
11-Aug-16,0.70,0.70,0.69,0.70,1671
10-Aug-16,0.70,0.70,0.69,0.69,12604
9-Aug-16,0.71,0.71,0.69,0.70,36446
8-Aug-16,0.70,0.70,0.68,0.70,5148
5-Aug-16,0.67,0.70,0.66,0.68,17495
4-Aug-16,0.66,0.70,0.64,0.65,28596
3-Aug-16,0.67,0.67,0.64,0.66,5646
2-Aug-16,0.66,0.66,0.64,0.65,49773
1-Aug-16,0.67,0.67,0.61,0.66,65241
29-Jul-16,0.66,0.68,0.66,0.68,6272
28-Jul-16,0.66,0.68,0.66,0.66,7685
27-Jul-16,0.67,0.69,0.66,0.66,36675
26-Jul-16,0.69,0.70,0.67,0.67,2883
25-Jul-16,0.70,0.70,0.65,0.67,45558
22-Jul-16,0.68,0.69,0.66,0.69,10807
21-Jul-16,0.69,0.69,0.65,0.66,29778
20-Jul-16,0.67,0.70,0.67,0.69,90852
19-Jul-16,0.68,0.68,0.66,0.68,15448
18-Jul-16,0.68,0.68,0.66,0.68,69976
