Date,Open,High,Low,Close,Volume
30-Dec-16,0.03,0.03,0.03,0.03,1923
28-Dec-16,0.04,0.04,0.03,0.03,2000
23-Dec-16,0.04,0.04,0.03,0.04,6933
20-Dec-16,0.04,0.04,0.04,0.04,5000
19-Dec-16,0.03,0.03,0.03,0.03,290
13-Dec-16,0.03,0.03,0.03,0.03,750
12-Dec-16,0.05,0.05,0.05,0.05,5001
29-Nov-16,0.03,0.03,0.03,0.03,940
28-Nov-16,0.05,0.05,0.05,0.05,800
25-Nov-16,0.03,0.03,0.03,0.03,148
27-Oct-16,0.06,0.06,0.06,0.06,190
25-Oct-16,0.06,0.06,0.03,0.03,4183
21-Oct-16,0.03,0.03,0.03,0.03,100
17-Oct-16,0.05,0.05,0.05,0.05,964
14-Oct-16,0.06,0.06,0.06,0.06,100
14-Sep-16,0.03,0.03,0.03,0.03,100
12-Sep-16,0.04,0.04,0.04,0.04,120
5-Aug-16,0.05,0.05,0.05,0.05,664
14-Jul-16,0.05,0.05,0.05,0.05,150
29-Jun-16,0.03,0.03,0.03,0.03,400
20-May-16,0.08,0.08,0.08,0.08,200
18-May-16,0.12,0.12,0.12,0.12,697
17-May-16,0.00,0.02,0.00,0.02,694
12-May-16,0.01,0.01,0.01,0.01,210
9-May-16,0.11,0.11,0.02,0.02,4523
6-May-16,0.02,0.02,0.02,0.02,2673
5-May-16,0.02,0.02,0.02,0.02,100
14-Apr-16,0.02,0.02,0.02,0.02,283
1-Apr-16,0.02,0.02,0.02,0.02,830
30-Mar-16,0.02,0.02,0.02,0.02,168
23-Mar-16,0.10,0.10,0.02,0.02,1675
21-Mar-16,0.02,0.02,0.02,0.02,1000
15-Mar-16,0.01,0.01,0.01,0.01,100
14-Mar-16,0.50,0.50,0.50,0.50,0
18-Feb-16,0.00,0.00,0.00,0.00,125
3-Feb-16,0.00,0.00,0.00,0.00,170
6-Jan-16,0.00,0.00,0.00,0.00,375
31-Dec-15,0.00,0.00,0.00,0.00,680
