Date,Open,High,Low,Close,Volume
16-Mar-17,2.85,3.20,2.85,3.15,57323
15-Mar-17,2.85,2.95,2.85,2.90,40783
14-Mar-17,2.95,2.95,2.85,2.85,6917
13-Mar-17,2.90,2.90,2.85,2.85,45427
10-Mar-17,2.85,3.00,2.81,2.85,69345
9-Mar-17,2.40,3.20,2.40,2.85,363845
8-Mar-17,2.70,2.70,2.45,2.45,1564800
7-Mar-17,2.70,2.75,2.65,2.65,11786
6-Mar-17,2.80,2.80,2.68,2.70,69762
3-Mar-17,2.85,2.85,2.62,2.75,34643
2-Mar-17,2.70,2.90,2.70,2.80,52325
1-Mar-17,2.85,2.90,2.75,2.85,26097
28-Feb-17,2.80,2.80,2.70,2.75,59060
27-Feb-17,2.70,2.80,2.70,2.80,29951
24-Feb-17,2.70,2.80,2.70,2.75,25397
23-Feb-17,2.70,2.70,2.65,2.65,13369
22-Feb-17,2.70,2.70,2.65,2.70,12950
21-Feb-17,2.80,2.80,2.65,2.70,9666
17-Feb-17,2.75,2.80,2.75,2.80,29821
16-Feb-17,2.75,2.80,2.70,2.70,10482
15-Feb-17,2.75,2.85,2.70,2.80,31497
14-Feb-17,2.85,2.90,2.80,2.80,33674
13-Feb-17,3.00,3.00,2.80,2.90,29225
10-Feb-17,2.95,2.95,2.90,2.95,33082
9-Feb-17,2.90,2.95,2.90,2.95,28814
8-Feb-17,2.90,2.95,2.90,2.90,45518
7-Feb-17,3.00,3.00,2.95,2.95,5398
6-Feb-17,3.00,3.05,2.95,2.95,18541
3-Feb-17,3.00,3.05,2.95,3.00,42951
2-Feb-17,3.00,3.05,2.90,2.95,18555
1-Feb-17,3.00,3.00,2.90,2.90,11541
31-Jan-17,2.95,3.00,2.85,3.00,25382
30-Jan-17,2.85,3.00,2.80,2.95,32258
27-Jan-17,2.95,2.95,2.90,2.90,23063
26-Jan-17,3.05,3.05,2.90,2.90,11221
25-Jan-17,2.80,3.00,2.65,3.00,114460
24-Jan-17,2.50,2.80,2.50,2.75,31183
23-Jan-17,2.55,2.60,2.45,2.45,28281
20-Jan-17,2.50,2.60,2.50,2.55,16600
19-Jan-17,2.55,2.60,2.50,2.55,16761
18-Jan-17,2.60,2.60,2.49,2.55,61586
17-Jan-17,2.70,2.70,2.60,2.60,22898
13-Jan-17,2.70,2.70,2.60,2.70,18164
12-Jan-17,2.70,2.75,2.70,2.70,26820
11-Jan-17,2.60,2.75,2.60,2.65,28133
10-Jan-17,2.80,2.80,2.65,2.75,16377
9-Jan-17,2.95,2.95,2.75,2.80,30098
6-Jan-17,3.05,3.05,2.90,3.00,29870
